Account,Customer Name,Product,Description,EAN,CaseSize,InnerSize,Price,Qty,Value,Prod Weight (kgs),Prod Height (cm),Prod Width (cm),Prod Length (cm),CaseBarcode,InnerBarcode
TO00041,LYNDA MILES T/AS MILES APART,SPYO,"ALB - SPOT/STRIPE 7X5"" - 104 PHOTOS",5012128412714,12,6,1.9,24,45.6,0.74,4.5,25.5,27.5,5024004689240,5024004689257
TO00041,LYNDA MILES T/AS MILES APART,SPYP,"ALB - SPOT/STRIPE 4X6"" - 80 PHOTOS",5012128412721,24,6,0.71,48,33.84,0.16,4.7,13,17,5024004689264,5024004689271
TO00041,LYNDA MILES T/AS MILES APART,SRDJ,SPOTS & STRIPE JOTTER X3 SIZES,5012128394348,24,0,0.54,24,12.96,0.14,1,10,27,5024004658130,
TO00041,LYNDA MILES T/AS MILES APART,SRLJ,SPOTS&STRIPES LONG JOTTER 120SHEETS,5012128394409,48,24,0.5,48,24,0.1,2,8,12.5,5024004658253,5024004658260
TO00041,LYNDA MILES T/AS MILES APART,SRMH,SPOTS&SRIPES A5 NOTEBOOK,5012128394300,24,12,0.54,24,12.96,0.26,12,15,21,5024004658055,5024004658062
TO00041,LYNDA MILES T/AS MILES APART,SRVS/1,STAT - STICKY FOAM 3D PADS (3SH A4),5012128267444,36,12,0.5,72,36,0.11,32.5,0.5,22.4,5024004367742,5024004367759
TO00041,LYNDA MILES T/AS MILES APART,SSAN,XMAS OUTFIT KIDS ANGEL,5012128414008,24,0,2.7,48,129.6,0.16,70,44,2,5024004690642,
TO00041,LYNDA MILES T/AS MILES APART,SSAO,STAT-SPOTS&STRIPES A6 NOTEBOOK 100SH,5012128415685,48,24,0.4,48,19.2,0.14,1.5,10.5,14.5,5024004693247,5024004693254
TO00041,LYNDA MILES T/AS MILES APART,SSAQ,STAT-SPOTS&STRIPES A5 NOTEBOOK 70SH,5012128415678,48,24,0.54,48,25.92,0.24,1,15,21,5024004693223,5024004693230
TO00041,LYNDA MILES T/AS MILES APART,SSAS,SPOTS AND STRIPES A4 NOTEBOOK,5012128415661,24,0,1,24,24,0.6,0.7,21,29.5,5024004693209,
TO00041,LYNDA MILES T/AS MILES APART,SSEH,HATS - ELF HAT,5012128414091,48,0,0.5,96,48,0.04,41,31,2,5024004690826,
TO00041,LYNDA MILES T/AS MILES APART,SSNB,STAT A4 DLX DIVIDER NOTEBOOK 200 SHT,5012128364433,12,0,1.5,24,36,1.06,3,29.5,24.5,5024004592687,
TO00041,LYNDA MILES T/AS MILES APART,SSNK,STAT-SPOTS&STRIPES SLIM NBOOK W/PEN,5012128415715,24,12,0.52,24,12.48,0.14,2,10,15.5,5024004693308,5024004693315
TO00041,LYNDA MILES T/AS MILES APART,SSPC,STAT-SPOTS&STRIPS TRIANGULAR PCASE,5012128415708,48,24,0.52,48,24.96,0.04,7,7,20,5024004693285,5024004693292
TO00041,LYNDA MILES T/AS MILES APART,SSSH,HATS - PACK OF 2 X RED FELT,5012128414268,24,0,0.5,24,12,0.06,47,29,4.4,5024004690864,
TO00041,LYNDA MILES T/AS MILES APART,SSTO,STOCKING WITH ADJUSTABLE ARROW,5012128413988,36,0,1.05,36,37.8,0.1,83,45,1,5024004690604,
TO00041,LYNDA MILES T/AS MILES APART,SSTR,MISC XMAS FELT TREAT BAGS X3 DESIGNS,5012128413964,48,0,0.5,144,72,0.04,27,18,1.5,5024004690581,
TO00041,LYNDA MILES T/AS MILES APART,STCK/3,STAT - HOOK & LOOP X 3 SHEETS,5012128267420,48,24,0.5,96,48,0.08,0.8,20.5,21.5,5024004367704,5024004367711
TO00041,LYNDA MILES T/AS MILES APART,STFA,STICKER PAD - REWARD STICKERS X 10,5012128265372,24,0,0.5,48,24.24,0.2,0.4,31.9,20.8,5024004363607,N/A
TO00041,LYNDA MILES T/AS MILES APART,STNM/1,STAT 10 X MINI MEMO PADS 50 SHEET,5012128370274,24,12,0.46,24,11.04,0.24,4.5,7.5,10.5,5024004605882,5024004605899
TO00041,LYNDA MILES T/AS MILES APART,STT/2,STAT-STAPLES 26/6 X 5000,5012128579004,40,20,0.3,80,24,0.14,2.5,4,11.5,5024004579008,5024004652879
TO00041,LYNDA MILES T/AS MILES APART,STTT,STAT-STAPLER IN PP BOX PINK/BLACK,5012128385001,48,24,0.98,48,47.04,0.26,5.5,4,16,5024004638125,5024004638132
TO00041,LYNDA MILES T/AS MILES APART,STTT/2,STAT-STAPLER IN PP BOX IN BLACK,5012128385001,48,24,0.98,48,47.04,0.26,4,5.5,16,5024004638125,5024004638132
TO00041,LYNDA MILES T/AS MILES APART,STUD15,DIARIES STUDENT A5 X 2 DESIGNS,5012128410345,20,0,0.48,20,9.6,0.18,21,1,15,5024004685501,5024004685518
TO00041,LYNDA MILES T/AS MILES APART,SUZP/1,"ACT-PASTEL PAPER PAD, A4, 40 SHEETS",5012128269820,36,12,0.53,36,19.08,0.22,0.6,29.5,21.5,5024004372500,5024004372517
TO00041,LYNDA MILES T/AS MILES APART,SVRL,BAGS LARGE CONTEMPORARY STAGS,5012128400872,48,12,0.42,48,20.16,0.08,32.8,26.5,0.3,5024004671801,5024004671818
TO00041,LYNDA MILES T/AS MILES APART,SVRM,BAGS MEDIUM CONTEMPORARY STAGS,5012128400889,48,12,0.29,48,13.92,0.04,17.8,22.7,0.3,5024004671825,5024004671832
TO00041,LYNDA MILES T/AS MILES APART,SVRX,BAGS X LARGE CONTEMPORARY STAGS,5012128400896,48,12,0.48,48,23.04,0.1,33,45.8,0.4,5024004671849,5024004671856
TO00041,LYNDA MILES T/AS MILES APART,SWOT/1,"ACT-BRIGHT PAPER PAD, A4, 40 SHEETS",5012128340390,36,12,0.53,36,19.08,0.22,0.5,30,21,5024004539552,5024004539576
TO00041,LYNDA MILES T/AS MILES APART,TAMC,TABLEWARE FELT MATS X2 / COASTERS X2,5012128414015,48,0,0.94,48,45.12,0.08,37.5,34,1.5,5024004690666,
TO00041,LYNDA MILES T/AS MILES APART,TARU,TABLEWARE- D/C STAR TABLE RUNNER,5012128414039,48,0,0.48,48,23.04,0.02,30,10,2,5024004690703,
TO00041,LYNDA MILES T/AS MILES APART,TBBL,TINSEL - 2M BLACK,5012128408755,24,0,0.47,144,67.68,0.04,114,8.5,4,5024004682500,N/A
TO00041,LYNDA MILES T/AS MILES APART,TBGR,TINSEL 2M GREEN,5012128408762,24,0,0.47,72,33.84,0.04,114,8.5,4,5024004682524,
TO00041,LYNDA MILES T/AS MILES APART,TBPN,TINSEL 2M PINK,5012128408823,24,0,0.47,96,45.12,0.04,114,8.5,4,5024004682623,
TO00041,LYNDA MILES T/AS MILES APART,TBPU,TINSEL 2M PURPLE,5012128408809,24,0,0.47,120,56.4,0.04,114,8.5,4,5024004682586,
TO00041,LYNDA MILES T/AS MILES APART,TBRE,TINSEL 2M RED,5012128408786,24,0,0.47,192,90.24,0.04,114,8.5,4,5024004682548,
TO00041,LYNDA MILES T/AS MILES APART,TBSV,TINSEL 2M SILVER,5012128408731,24,0,0.47,168,78.96,0.04,114,8.5,4,5024004682463,
TO00041,LYNDA MILES T/AS MILES APART,TBTE,TINSEL 2M TEAL,5012128408816,24,0,0.47,96,45.12,0.04,114,8.5,4,5024004682609,
TO00041,LYNDA MILES T/AS MILES APART,TCRG,TINSEL 2M CHUNKY 2 TONE RED/GLD,5012128408670,24,0,0.47,72,33.84,0.04,114,8.5,4,5024004682340,
TO00041,LYNDA MILES T/AS MILES APART,TCSS,TINSEL 2M CHUNKY 2 TONE SILVER,5012128408724,24,0,0.47,144,67.68,0.04,114,8.5,4,5024004682449,
TO00041,LYNDA MILES T/AS MILES APART,TDDC,TAGS XMAS 40 DIE CUT CUTE,5012128399794,48,0,0.45,48,21.6,0.04,22.5,16.5,1,5024004669648,
TO00041,LYNDA MILES T/AS MILES APART,TDTT,TAGS XMAS 40 DIE CUT TRADITIONAL,5012128399800,48,0,0.45,48,21.6,0.04,22.5,16.5,1,5024004669662,
TO00041,LYNDA MILES T/AS MILES APART,TDV/1,STAT-TAPE       DISPENSER,5012128052880,24,12,0.62,168,104.16,0.78,9.5,7,16.5,5024004052884,5024004641989
TO00041,LYNDA MILES T/AS MILES APART,TFCU,TAGS XMAS 30 DIE CUT CUTE,5012128399770,48,0,0.45,48,21.6,0.04,34.5,11,1,5024004669600,
TO00041,LYNDA MILES T/AS MILES APART,TFDN,EDUCATIONAL - AL&NB SNAP IN TIN-CDU,5012128386749,48,24,0.52,48,24.96,0.12,2,9,10,5024004641934,5024004641941
TO00041,LYNDA MILES T/AS MILES APART,TFFY,EDUCATIONAL - AN&FRM TRUMPS TIN CDU,5012128386756,48,24,0.5,96,48.96,0.12,2,9,10,5024004641958,5024004641965
TO00041,LYNDA MILES T/AS MILES APART,TFMO,EDUCATIONAL - MNS&FRY SNAP CARD TIN,5012128386732,48,24,0.5,48,24,0.12,2,9,10,5024004641910,5024004641927
TO00041,LYNDA MILES T/AS MILES APART,TFTD,TAGS XMAS 30 TRADITIONAL,5012128399763,48,0,0.45,48,21.6,0.04,34.5,11,1,5024004669587,
TO00041,LYNDA MILES T/AS MILES APART,TGSG,TAGS XMAS 36 GLITTER -ASSRTD DESIGN,5012128399879,48,0,0.45,48,21.6,0.06,35,10.5,1.3,5024004669808,
TO00041,LYNDA MILES T/AS MILES APART,TILC,ACC 20 SHEET TISSUE PAPER TRAD,5012128406720,50,0,0.47,50,23.5,0.08,54,13,0.04,5024004679722,
TO00041,LYNDA MILES T/AS MILES APART,TIQW,ACC 10 SHEETS TISSUE PAPER TRAD,5012128406706,50,0,0.32,50,16,0.04,54,13,0.03,5024004679685,
TO00041,LYNDA MILES T/AS MILES APART,TIVX,ACC 10 SHEETS TISSUE PAPER CONTEMP,5012128406713,50,0,0.32,50,16,0.04,54,13,0.03,5024004679708,
TO00041,LYNDA MILES T/AS MILES APART,TJK/1,FRM STYRENE  CLIP 12X16IN (30X40CMS),5012128620010,5,0,1.57,25,39.25,0.48,1.5,30.8,41,5024004620014,N/A
TO00041,LYNDA MILES T/AS MILES APART,TJL/1,FRM STYRENE  CLIP 12X18IN (30X45CMS),5012128620027,5,0,1.68,15,25.2,0.56,1.5,30.9,46,5024004620021,N/A
TO00041,LYNDA MILES T/AS MILES APART,TJM/1,FRM STYRENE  CLIP 16X20IN (40X50CMS),5012128620034,5,0,2.04,25,51,0.78,51,1.4,40.8,5024004620038,N/A
TO00041,LYNDA MILES T/AS MILES APART,TJP/1,FRM STYRENE  CLIP 18X24IN (46X61CMS),5012128620065,5,0,3.05,5,15.25,1.06,61,1.5,46.5,5024004620069,N/A
TO00041,LYNDA MILES T/AS MILES APART,TJQ/1,FRM STYRENE  CLIP 20X24IN (50X60CMS),5012128620072,5,0,3.25,5,16.25,1.2,60.5,1.5,51,5024004620076,N/A
TO00041,LYNDA MILES T/AS MILES APART,TJR/1,FRM STYRENE  CLIP 20X28IN (50X70CMS),5012128620089,5,0,3.7,10,37,1.2,70.5,50.5,1,5024004620083,N/A
TO00041,LYNDA MILES T/AS MILES APART,TJV/1,FRM STYRENE  CL 24.5X36.5 (62X93CMS),5012128630026,5,0,5.95,5,29.75,2.02,93.5,62.5,1.5,5024004630020,N/A
TO00041,LYNDA MILES T/AS MILES APART,TJW/1,FRM STYRENE  CLIP 28X40IN (70X100CM),5012128630033,2,0,7.58,2,15.16,2.68,102.5,2.5,71.8,5024004630037,N/A
TO00041,LYNDA MILES T/AS MILES APART,TOOP,TAGS XMAS 50 FOILED CUTE,5012128399749,48,0,0.49,96,47.04,0.14,33,23,1,5024004669549,
TO00041,LYNDA MILES T/AS MILES APART,TPCR,TABLEWARE TABLECOVER TRAD 120X180,5012128404801,48,0,0.48,48,23.04,0.8,39.6,22.5,0.5,5024004676844,
TO00041,LYNDA MILES T/AS MILES APART,TPNP,"TABLEWARE 25,2PLY NAPKINS TRAD",5012128404740,24,0,0.48,144,69.12,0.1,23,19.5,1.5,5024004676806,
TO00041,LYNDA MILES T/AS MILES APART,TPPL,"TABLEWARE PLATES 8X9"" TRAD ROUND",5012128413858,48,0,0.48,96,46.08,0.14,32.1,24.5,1.5,5024004690505,
TO00041,LYNDA MILES T/AS MILES APART,TRDD,TAGS XMAS 50 FOLIED TRADITIONAL,5012128399732,48,0,0.49,96,47.04,0.14,33,23,1,5024004669525,
TO00041,LYNDA MILES T/AS MILES APART,TRNL,BAGS LARGE TRADITIONAL ROBIN,5012128402036,48,12,0.42,48,20.16,0.08,32.8,26.5,0.3,5024004673461,5024004673478
TO00041,LYNDA MILES T/AS MILES APART,TRNX,BAGS X LARGE TRADITIONAL ROBIN,5012128402043,48,12,0.48,48,23.04,0.1,45,33,0.4,5024004673485,5024004673492
TO00041,LYNDA MILES T/AS MILES APART,TSBU,TINSEL 2M STAR BLUE,5012128408595,24,0,0.47,72,33.84,0.02,110,8.5,3,5024004682302,
TO00041,LYNDA MILES T/AS MILES APART,TSRE,TINSEL 2M STAR RED,5012128408564,24,0,0.47,96,45.12,0.02,110,8.5,3,5024004682241,
TO00041,LYNDA MILES T/AS MILES APART,TSTT,TAGS XMAS 50 FOIL CONTEMPORARY,5012128399756,48,0,0.49,96,47.04,0.14,33,23,1,5024004669563,
TO00041,LYNDA MILES T/AS MILES APART,TTCG,"TAGS, 20 GOLDERN CLASSICS SELF ADHES",5012213311878,25,0,0.33,25,8.25,0.02,26,9.5,0.2,5012213311892,
TO00041,LYNDA MILES T/AS MILES APART,TTCX,TAGS 20 CUTE BEAR SELF ADHESIVE,5012213333603,25,0,0.33,25,8.25,0.02,22,11.2,0.2,5012213333610,
TO00041,LYNDA MILES T/AS MILES APART,TTET,TAGS 20 ELEGANT TRADITIONS SELF ADH,5012213311816,25,0,0.33,25,8.25,0.02,26,9.5,0.2,5012213311830,
TO00041,LYNDA MILES T/AS MILES APART,TTGD,TAGS 12 GOLD FOILED,5012213312370,25,0,0.33,25,8.25,0.02,15.5,10,0.5,5012213312394,
TO00041,LYNDA MILES T/AS MILES APART,TTKD,"TAGS, 20 NOVELTY KIDS SELF ADHESIVE",5012213311847,25,0,0.33,25,8.25,0.02,22,11.2,0.2,5012213311861,
TO00041,LYNDA MILES T/AS MILES APART,TTOP,"TAGS, 20 OPULENT WONDER SELF ADHESIV",5012213311908,25,0,0.33,25,8.25,0.02,26,9.5,0.2,5012213311922,
TO00041,LYNDA MILES T/AS MILES APART,TTRE,TAGS 12 RED FOILED,5012213312400,25,0,0.33,25,8.25,0.02,15.5,10,0.5,5012213312424,
TO00041,LYNDA MILES T/AS MILES APART,TTSL,TINSEL MINI 5M SILVER,5012128408984,24,0,0.48,24,11.52,0.02,9,9,7,5024004682807,
TO00041,LYNDA MILES T/AS MILES APART,TTSV,TAGS 12 SILVER FOILED,5012213312349,25,0,0.33,25,8.25,0.02,15.5,10,0.5,5012213312363,
TO00041,LYNDA MILES T/AS MILES APART,TTSZ,TAGS 20 SANTA & FRIENDS SELF ADHES,5012213311960,25,0,0.33,25,8.25,0.02,22,11.2,0.2,5012213311984,
TO00041,LYNDA MILES T/AS MILES APART,UGC/3,"STAT 4 X CHUNKY JOTTERS, 40 SHEETS",5012128082764,48,24,0.45,96,43.2,0.18,1.5,7.5,21,5024004082768,5024004585047
TO00041,LYNDA MILES T/AS MILES APART,UGO/5,"STAT A5 RULED NOTEPAD, 170 SHEET",5012128082887,20,10,0.52,20,10.4,0.3,1.5,21,14,5024004082881,5024004610596
TO00041,LYNDA MILES T/AS MILES APART,UGO/6," STAT A5 RULED NOTEPAD, 170 SHEET",5012128082887,20,10,0.52,20,10.4,0.3,1.5,14.5,21,5024004082881,5024004610596
TO00041,LYNDA MILES T/AS MILES APART,VICB,STAT- A5 VINTAGE CLIPBOARD,5012128415814,36,12,0.54,36,19.44,0.18,1.5,23,32,5024004693469,5024004693476
TO00041,LYNDA MILES T/AS MILES APART,VIPN,STAT-VINTAGE 3 BALLPOINT PENS IN BOX,5012128416446,24,12,0.48,24,11.52,0.04,3,6.5,16.5,5024004694244,5024004694251
TO00041,LYNDA MILES T/AS MILES APART,VTR/3,STAT LAMINATING POUCHES PACK OF 18,5012128091018,24,12,1.07,24,25.68,0.28,35.5,0.5,25.5,5024004091012,5024004540657
TO00041,LYNDA MILES T/AS MILES APART,WCAR,"ACT-A4 WHITE CARD, A4, 20 SHEETS",5012128395390,30,0,0.5,180,90,0.34,0.5,36.5,22,5024004660393,N/A
TO00041,LYNDA MILES T/AS MILES APART,WDVE,STAT-A5 GLITTER DYE CUTE NOTEBK 60SH,5012128415821,24,12,0.54,24,12.96,0.22,21,16,1.5,5024004693483,5024004693490
TO00041,LYNDA MILES T/AS MILES APART,WFRP,WRAP 12 SHEETS - 6 ASSORTED,5012128404108,25,0,0.47,200,94,0.2,36,27,0.03,5024004676066,5024004676073
TO00041,LYNDA MILES T/AS MILES APART,WHI/1,STAT PENS-4 WHITE BOARD MARKERS,5012128123443,36,0,0.48,72,34.92,0.06,1.5,7,14.5,5024004123447,N/A
TO00041,LYNDA MILES T/AS MILES APART,WOGF,STAT-PHOTO A5NBOOK X2DESIGN DOGFATHR,5012128414671,24,12,0.54,24,12.96,0.22,1.2,15,21,5024004691380,5024004691397
TO00041,LYNDA MILES T/AS MILES APART,WRBR,5M WRAP CUTE BEARS 45MM INSRT,5012213327879,50,0,0.45,200,90,0.22,70,4.5,4.5,5012213329163,
TO00041,LYNDA MILES T/AS MILES APART,WRCX,5M WRAP NOVELTY KIDS 45MM INSRT,5012213275637,50,0,0.45,200,90,0.22,70,5,5,5012213329118,
TO00041,LYNDA MILES T/AS MILES APART,WREL,BAGS LARGE TRADITIONAL TREE & WREATH,5012128400612,48,12,0.42,48,20.16,0.08,32.8,26.5,0.3,5024004671283,5024004671290
TO00041,LYNDA MILES T/AS MILES APART,WREX,BAGS X LARGE TRADITIONAL TREE WREATH,5012128400629,48,12,0.48,48,23.04,0.1,45,33,0.4,5024004671306,5024004671313
TO00041,LYNDA MILES T/AS MILES APART,WRGD,5M WRAP GOLDEN CLASSICS 45MM INSRT,5012213253307,50,0,0.45,200,90,0.22,70,4.5,4.5,5012213329132,
TO00041,LYNDA MILES T/AS MILES APART,WRK/2,"STAT JOTTER BLOCK, WHITE, 700 SHEETS",5012128087219,36,12,0.5,36,18,0.32,5.4,9,9,5024004087213,5024004542125
TO00041,LYNDA MILES T/AS MILES APART,WRK/3,"STAT JOTTER BLOCK, WHITE, 700 SHEETS",5012128087219,36,12,0.48,36,17.28,0.3,9,9,5,5024004087213,5024004542125
TO00041,LYNDA MILES T/AS MILES APART,WRPO,5M WRAP OPULENT 45MM INSRT,5012213275675,50,0,0.45,150,67.5,0.22,70,4.5,4.5,5012213329149,
TO00041,LYNDA MILES T/AS MILES APART,WRSN,5M WRAP SANTA & FRIENDS 45MM INSRT,5012213275712,50,0,0.45,200,90,0.22,70,5,5,5012213329156,
TO00041,LYNDA MILES T/AS MILES APART,WRTT,5M WRAP TRADITIONAL 45MM INSRT,5012213275613,50,0,0.45,200,90,0.22,70,5,5,5012213329101,
TO00041,LYNDA MILES T/AS MILES APART,WUM/2,"STAT A4 WRITING PAD, RULED, 60 SHEET",5012128087301,30,10,0.52,30,15.6,0.3,0.8,29.9,21,5024004087305,N/A
TO00041,LYNDA MILES T/AS MILES APART,WWEL,2M FOIL WRAP ELEGANT ICE 45MM INSRT,5012213327893,50,0,0.46,100,46,0.12,70,5,5,5012213329200,
TO00041,LYNDA MILES T/AS MILES APART,WWGD,2M FOIL WRAP GOLDN LUXURY 45MM INST,5012213327886,50,0,0.46,100,46,0.14,70,5,5,5012213329194,
TO00041,LYNDA MILES T/AS MILES APART,WWPL,3M EXTRA WIDE WRAP 32MM INSERT,5012213251204,40,0,0.52,160,83.2,0.02,100.5,3.6,3.6,5012213329170,
TO00041,LYNDA MILES T/AS MILES APART,WWRH,2M FOIL WRAP RICH DELIGHTS 45MM INST,5012213251228,50,0,0.46,100,46,0.14,70,4.5,4.5,5012213329187,
TO00041,LYNDA MILES T/AS MILES APART,XBER,ACTIVITY XMAS - MYO KNITTED SNOWMAN,5012128411595,24,0,1,24,24,0.14,30,21,3,5024004687741,
TO00041,LYNDA MILES T/AS MILES APART,XCBB,ACTIVITY XMAS PACK -ASSTD BOOK/STICK,5012128411540,24,0,0.48,48,23.04,0.26,35,23,1.5,5024004687642,
